 FLOW_OUT_1
observed          L95PPU         U95PPU         Best_Sim       M95PPU
4.240000        0.387120        1.261949        1.313000        0.848900       
0.670000        0.005119        1.122778        1.188000        0.595077       
0.160000        0.002697        1.019655        1.079000        0.539500       
0.080000        0.002459        0.929691        0.983800        0.491900       
0.270000        0.002254        0.852012        0.901600        0.450800       
0.970000        0.004123        0.785408        0.831000        0.416525       
6.450000        0.897315        5.954865        0.883900        3.566950       
1.110000        0.027927        0.693935        0.732800        0.379480       
0.890000        0.513870        0.653265        0.661400        0.587450       
2.050000        0.189539        0.581147        0.604000        0.396250       
6.180000        0.009660        0.519356        0.549100        0.278704       
10.860000       0.526706        1.735463        0.523500        1.164750       
5.540000        0.019971        0.446226        0.471100        0.244970       
7.060000        0.003872        0.392804        0.415500        0.209170       
0.200000        0.000932        0.352485        0.373000        0.186500       
0.000000        0.000842        0.318276        0.336800        0.168400       
0.090000        0.000864        0.293522        0.310600        0.155344       
1.070000        0.001361        0.272857        0.288700        0.144671       
1.650000        0.001436        0.250090        0.264600        0.132688       
1.980000        0.002120        0.229624        0.242900        0.122208       
1.930000        0.008107        0.216159        0.228300        0.117927       
2.980000        0.004663        0.195277        0.206400        0.105279       
4.750000        0.212848        0.834144        0.211200        0.540800       
17.879999       0.206971        1.477838        0.203600        0.877800       
9.790000        0.179554        0.614518        0.178400        0.409150       
0.850000        0.005191        0.140787        0.148700        0.076766       
1.090000        0.000317        0.119826        0.126800        0.063400       
0.050000        0.000280        0.105840        0.112000        0.056000       
0.000000        0.000300        0.098471        0.104200        0.052120       
1.040000        0.003353        0.097222        0.102700        0.052902       
1.980000        0.009376        0.095476        0.100500        0.054824       
1.950000        0.009180        0.087982        0.092600        0.050775       
1.840000        0.006891        0.078917        0.083100        0.044910       
2.770000        0.719266        5.532143        0.706500        3.259750       
3.580000        0.084350        0.551820        0.083100        0.331105       
10.160000       0.005940        0.064597        0.068000        0.036902       
2.840000        0.070597        1.735825        0.066200        0.949590       
0.320000        0.030037        0.062874        0.064800        0.047370       
2.050000        0.067887        1.842445        0.063200        1.004590       
0.000000        0.001655        0.043744        0.046200        0.023872       
0.000000        0.000295        0.037801        0.040000        0.020093       
0.230000        0.000140        0.034391        0.036400        0.018219       
0.700000        0.059094        0.347283        0.058300        0.211215       
0.880000        0.018259        0.047938        0.049700        0.033925       
2.070000        0.038837        0.056471        0.038800        0.048145       
1.800000        0.885851        10.744683       0.859700        6.089850       
11.490000       1.875480        6.203439        1.864000        4.160000       
8.530000        0.589545        1.926010        0.586000        1.295000       
2.710000        0.352095        0.500821        0.351700        0.430600       
0.540000        0.005239        0.292062        0.308800        0.156639       
0.000000        0.001026        0.260461        0.275600        0.137969       
0.000000        0.000959        0.236741        0.250500        0.125417       
0.000000        0.000570        0.215460        0.228000        0.114000       
0.250000        0.001239        0.199529        0.211100        0.105907       
0.770000        0.005940        0.187127        0.197700        0.101579       
1.050000        0.005113        0.171680        0.181400        0.093036       
1.190000        0.179372        0.470510        0.178600        0.333050       
1.440000        0.012892        0.153117        0.161300        0.086910       
1.330000        0.006039        0.134503        0.142000        0.073849       
1.380000        0.005681        0.123145        0.130000        0.067685       
0.230000        0.001197        0.107780        0.114000        0.057457       
0.210000        0.000244        0.092298        0.097700        0.048835       
0.090000        0.000219        0.082612        0.087400        0.043710       
0.080000        0.000198        0.074712        0.079100        0.039530       
0.000000        0.000186        0.070185        0.074300        0.037135       
0.020000        0.000248        0.066220        0.070100        0.035071       
0.720000        0.078377        0.111280        0.078300        0.095745       
1.220000        0.008698        0.066507        0.069900        0.039213       
1.330000        0.016965        0.063929        0.066700        0.041755       
0.980000        0.058336        0.754193        0.056500        0.425645       
3.270000        1.047368        7.971916        1.029000        4.702500       
2.240000        0.076684        0.082047        0.082400        0.079515       
0.330000        0.062235        0.101981        0.062100        0.083215       
0.130000        0.002815        0.042683        0.045000        0.023860       
0.000000        0.000081        0.030542        0.032300        0.016160       
0.000000        0.000067        0.025392        0.026900        0.013435       
0.000000        0.000064        0.024183        0.025600        0.012795       
0.290000        0.001355        0.028354        0.029900        0.015606       
0.430000        0.039554        0.263624        0.039000        0.157830       
0.650000        0.046103        0.902996        0.043800        0.498415       
1.230000        0.023069        0.045473        0.046800        0.034895       
1.030000        0.010422        0.030064        0.031200        0.020790       
2.350000        0.026213        0.181725        0.025800        0.108300       
0.730000        0.006340        0.022563        0.023500        0.014903       
