Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_1     8.530000        0.589545        1.926010        0.586000       
FLOW_OUT_1     2.710000        0.352095        0.500821        0.351700       
FLOW_OUT_1     0.540000        0.005239        0.292062        0.308800       
FLOW_OUT_1     0.000000        0.001026        0.260461        0.275600       
FLOW_OUT_1     0.000000        0.000959        0.236741        0.250500       
FLOW_OUT_1     0.000000        0.000570        0.215460        0.228000       
FLOW_OUT_1     0.250000        0.001239        0.199529        0.211100       
FLOW_OUT_1     0.770000        0.005940        0.187127        0.197700       
FLOW_OUT_1     1.050000        0.005113        0.171680        0.181400       
FLOW_OUT_1     1.190000        0.179372        0.470510        0.178600       
FLOW_OUT_1     1.440000        0.012892        0.153117        0.161300       
FLOW_OUT_1     1.330000        0.006039        0.134503        0.142000       
FLOW_OUT_1     1.380000        0.005681        0.123145        0.130000       
FLOW_OUT_1     0.230000        0.001197        0.107780        0.114000       
FLOW_OUT_1     0.210000        0.000244        0.092298        0.097700       
FLOW_OUT_1     0.090000        0.000219        0.082612        0.087400       
FLOW_OUT_1     0.080000        0.000198        0.074712        0.079100       
FLOW_OUT_1     0.000000        0.000186        0.070185        0.074300       
FLOW_OUT_1     0.020000        0.000248        0.066220        0.070100       
FLOW_OUT_1     0.720000        0.078377        0.111280        0.078300       
FLOW_OUT_1     1.220000        0.008698        0.066507        0.069900       
FLOW_OUT_1     1.330000        0.016965        0.063929        0.066700       
FLOW_OUT_1     0.980000        0.058336        0.754193        0.056500       
FLOW_OUT_1     3.270000        1.047368        7.971916        1.029000       
FLOW_OUT_1     2.240000        0.076684        0.082047        0.082400       
FLOW_OUT_1     0.330000        0.062235        0.101981        0.062100       
FLOW_OUT_1     0.130000        0.002815        0.042683        0.045000       
FLOW_OUT_1     0.000000        0.000081        0.030542        0.032300       
FLOW_OUT_1     0.000000        0.000067        0.025392        0.026900       
FLOW_OUT_1     0.000000        0.000064        0.024183        0.025600       
FLOW_OUT_1     0.290000        0.001355        0.028354        0.029900       
FLOW_OUT_1     0.430000        0.039554        0.263624        0.039000       
FLOW_OUT_1     0.650000        0.046103        0.902996        0.043800       
FLOW_OUT_1     1.230000        0.023069        0.045473        0.046800       
FLOW_OUT_1     1.030000        0.010422        0.030064        0.031200       
FLOW_OUT_1     2.350000        0.026213        0.181725        0.025800       
FLOW_OUT_1     0.730000        0.006340        0.022563        0.023500       
FLOW_OUT_1     0.480000        0.005120        0.019746        0.020600       
FLOW_OUT_1     0.110000        0.000022        0.008457        0.008900       
FLOW_OUT_1     0.000000        0.000012        0.004465        0.004700       
FLOW_OUT_1     0.000000        0.000005        0.001765        0.001900       
FLOW_OUT_1     0.000000        0.000010        0.003739        0.004000       
FLOW_OUT_3     46.270000       17.716774       39.120953       17.660000      
FLOW_OUT_3     59.360001       89.179573       243.589310      88.769997      
FLOW_OUT_3     143.550003      132.994247      357.026459      132.399994     
FLOW_OUT_3     233.869995      53.037949       210.605103      52.619999      
