
FLOW_OUT_1
observed    simulated
44.6100       112.9000    
35.0900       79.6900     
53.5200       57.7000     
85.5200       29.8100     
373.4700      14.5500     
306.0000      7.2730      
113.1900      6.3190      
23.1200       7.4480      
5.8200        10.0600     
20.2100       37.6000     
28.9100       13.9900     
37.3400       55.7500     
50.1100       186.8000    
54.5100       189.4000    
60.2100       89.8700     
125.0300      54.0700     
192.0000      28.3300     
157.5700      23.1500     
52.1200       21.9800     
7.7000        21.4500     
10.0600       21.6100     
8.2500        34.7100     
14.4000       38.5700     
66.6200       47.8700     
88.9500       97.9100     
138.6700      63.8100     
122.6900      45.8000     
285.6400      43.6800     
254.1400      22.6300     
151.6200      18.4500     
48.0400       16.8400     
14.6200       16.5500     
5.4100        18.0200     
12.6600       23.5600     
37.6500       50.3100     
109.1500      117.5000    
67.8900       124.0000    
77.6600       82.2700     
112.9500      127.3000    
146.0300      97.5400     
244.2300      52.2800     
272.3200      44.9800     
184.8400      40.8000     
25.3300       40.2300     
14.9400       39.4700     
13.7100       150.3000    
34.9900       86.6000     
42.6100       91.9700     
46.6400       72.8800     
51.6200       37.8100     
75.3800       93.2300     
105.9700      116.3000    
353.0000      83.4900     
175.9800      56.2300     
27.8300       50.4900     
24.9300       48.7300     
3.5300        47.5500     
8.8900        45.4400     
30.3600       42.8000     
37.7200       39.3100     
40.0000       55.8000     
43.6500       63.0400     
42.3400       186.7000    
52.3400       48.5600     
139.3200      37.7400     
74.9800       32.7900     
18.0900       29.3300     
8.5800        28.5200     
0.3200        29.0000     
2.3900        28.3800     
8.9200        26.5700     
34.7400       24.5100     
33.0700       36.4500     
34.2900       21.3600     
55.8400       24.4200     
198.8400      11.2800     
308.3300      6.1380      
125.5300      3.8520      
38.5800       2.5340      
5.9600        5.0540      
4.3100        6.6950      
5.1800        8.8950      
15.4100       9.1510      
23.1800       11.7900     
25.4000       205.6000    
30.8100       272.2000    
32.8100       28.8900     
35.4700       24.1300     
33.6800       15.9300     
10.4400       13.2600     
0.7500        11.8700     
3.8300        12.5700     
2.0300        13.8700     
1.5800        14.5300     
4.5500        14.0600     
9.7000        17.2700     
14.4800       13.5000     
16.9400       13.1900     
23.9900       10.1000     
69.9200       2.1650      
63.2100       0.0011      
15.7700       0.0000      
3.8500        0.0000      
1.2600        0.1738      
0.3400        1.6640      
0.4000        4.4360      
0.6200        14.7800     
7.9000        11.9600     
0.9800        85.3800     
3.2700        66.9500     
2.2400        17.4800     
0.3300        2.3130      
0.1300        0.0292      
0.0000        0.0000      
0.0000        0.0000      
0.0000        0.0595      
0.2900        2.6200      
0.4300        4.2900      


NO3_OUT_7
observed    simulated
17000.0000    6873.0000   
510000.0000   51150.0000  
56000.0000    1901.0000   
61000.0000    0.0000      
1100.0000     0.0000      
14.0000       0.0000      
0.2300        0.0000      
5.8000        0.0000      
6.4000        0.0000      
3.2000        0.0000      
5800.0000     32.0700     
7400.0000     180.2000    

