 FLOW_OUT_1
observed          L95PPU         U95PPU         Best_Sim       M95PPU
0.980000        0.008082        1.068936        0.005500        0.324321       
3.270000        0.289887        18.606379       1.421000        5.808763       
2.240000        0.036251        3.286947        0.059200        0.500262       
0.330000        0.019717        1.800707        0.032700        0.295999       
0.130000        0.002456        0.154161        0.013200        0.031216       
0.000000        0.000038        0.017707        0.001500        0.003701       
0.000000        0.000022        0.014452        0.000000        0.002234       
0.000000        0.000687        0.447051        0.000000        0.062364       
0.290000        0.001980        0.533529        0.002400        0.077002       
0.430000        0.021045        4.630434        0.013400        0.730208       
0.650000        0.031631        6.337512        0.020600        1.154515       
1.230000        0.022540        0.367124        0.025300        0.074115       
1.030000        0.009820        0.027645        0.011600        0.015401       
2.350000        0.014762        4.016271        0.007700        0.618580       
0.730000        0.009103        1.441053        0.007000        0.203027       
0.480000        0.008045        1.705070        0.005500        0.236882       
0.110000        0.000015        0.009839        0.000000        0.001403       
0.000000        0.000009        0.006006        0.000000        0.000807       
0.000000        0.000005        0.003447        0.000000        0.000463       
0.000000        0.000099        0.064365        0.000000        0.009384       

p-factor= 0.50
r-factor= 0.59
R2= 0.15
Nash_Sutclif= -0.12


 FLOW_OUT_3
observed          L95PPU         U95PPU         Best_Sim       M95PPU
46.270000       3.565618        156.646713      3.153000        41.125374      
59.360001       53.067101       346.680634      92.519997       176.297501     
143.550003      76.405647       601.000977      153.899994      277.271240     
233.869995      36.044071       545.825928      74.510002       174.201263     
91.639999       5.911010        121.005791      19.709999       33.790375      
6.960000        0.020053        7.459531        1.262000        1.604450       
0.970000        0.007763        5.053620        0.000000        0.679250       
0.480000        0.006576        4.280790        0.000000        0.575375       
0.850000        0.007634        4.969920        0.000000        0.668000       
10.820000       0.064800        36.158401       0.000000        5.875513       
28.090000       0.384262        158.196091      0.044100        32.616894      
40.009998       9.157440        80.923676       8.964000        24.470499      
48.169998       0.976587        57.215546       0.825000        14.146749      
56.700001       77.152466       603.258118      118.400002      234.916260     
213.419998      49.280800       777.863342      101.199997      265.622498     
329.299988      45.239998       496.639923      121.300003      187.755005     
72.669998       14.848101       176.593292      60.959999       69.161255      
10.330000       1.852380        44.207344       23.410000       19.848999      
2.970000        0.019600        10.936800       3.697000        1.932125       
0.720000        0.015714        10.230000       0.000000        1.375000       
3.100000        0.015971        10.397400       0.000000        1.397500       
22.889999       0.251429        163.680008      0.000000        25.858274      
36.410000       27.437925       215.878113      31.830000       85.568756      
72.680000       7.234996        347.345154      6.502000        83.342751      
66.180000       48.180500       144.360489      76.449997       107.737495     
97.110001       138.345993      627.856018      233.100006      360.462524     
150.589996      138.324509      549.856934      209.399994      320.274994     
458.170013      80.161629       640.974365      128.899994      224.327484     
423.709991      34.616997       411.923950      128.100006      137.353745     
241.699997      3.673527        75.843231       66.559998       29.062374      
43.450001       0.055800        31.471197       32.029999       8.306345       
15.970000       0.059540        27.686098       14.950000       6.792829       
23.639999       0.045500        25.388998       6.692000        4.917000       
40.430000       0.090300        25.464598       3.405000        8.244875       
57.029999       18.458941       310.287109      17.830000       84.352501      
72.389999       30.748549       185.900879      30.469999       60.213749      
61.619999       38.304932       173.116425      43.230000       91.688751      
77.900002       68.797951       325.568726      101.699997      169.231247     
173.649994      48.752052       557.782593      68.769997       181.981262     
415.100006      30.792200       444.772949      51.080002       125.311249     
277.350006      26.730202       438.614380      71.769997       127.872498     
73.370003       3.345540        52.146885       32.430000       18.895000      
10.470000       0.031980        14.870700       12.470000       3.886576       
13.220000       0.027220        12.657300       3.297000        2.391833       
10.850000       0.020000        13.020000       0.009900        1.938307       
23.260000       0.066300        30.829504       0.008300        7.582164       
129.690002      11.767558       914.970337      9.821000        200.270126     
138.770004      42.152126       302.640442      59.480000       112.894997     
201.979996      96.891953       463.552765      185.300003      242.251251     
155.270004      108.883003      309.238037      169.899994      191.362503     
448.420013      71.593803       544.046692      171.100006      216.952515     
459.179993      99.788300       534.223816      213.800003      250.467499     
226.210007      71.830704       393.895050      192.100006      186.203751     
59.330002       18.131474       74.328690       78.570000       38.187500      
16.129999       0.113175        42.101101       37.980000       14.533789      
4.810000        0.094900        35.302799       16.920000       9.672500       
16.580000       0.097825        36.390900       8.497000        10.265625      
62.240002       0.253193        44.231884       5.040000        17.855808      
256.359985      114.085503      1333.005981     142.000000      438.937500     
122.720001      78.571457       108.762573      88.339996       95.252502      
115.000000      76.510048       154.219299      86.500000       108.852493     
146.210007      64.874939       317.727081      65.160004       121.756248     
225.839996      10.818575       103.039902      24.180000       33.325001      
340.769989      68.255829       730.796814      112.500000      237.736237     
326.320007      91.540497       561.533020      209.500000      239.237503     
197.050003      57.885498       300.351501      154.100006      138.723755     
31.150000       0.240167        67.006508       72.050003       24.359787      
11.440000       0.139133        38.818199       36.279999       15.280624      
19.100000       0.204650        38.064899       19.670000       14.921750      
44.599998       0.206800        38.464798       11.650000       15.381500      
50.490002       7.104545        67.408737       6.942000        25.512375      
55.730000       0.391600        36.418800       4.459000        15.290501      
69.220001       3.012505        116.510918      2.399000        33.178501      
111.110001      30.187199       389.018372      29.219999       119.897491     
155.419998      37.658852       521.608337      36.790001       130.461243     
631.669983      140.401489      880.679138      233.000000      377.200012     
255.000000      27.673473       199.622711      78.099998       68.167496      
26.420000       2.900637        34.270538       36.279999       14.584499      
17.910000       0.128102        20.928730       15.600000       7.124060       
6.510000        0.044075        16.395899       4.376000        3.756750       
17.540001       0.043825        16.302902       0.624100        4.131375       
36.080002       0.162869        56.005470       0.391600        13.613369      
52.349998       0.854782        39.942047       0.643500        13.015950      
59.099998       0.390747        71.961349       0.236500        16.413624      
55.590000       0.302300        84.341705       0.000000        19.725275      
60.889999       17.851601       221.236389      32.610001       95.147491      
88.389999       3.515647        179.609863      3.041000        42.301498      
219.330002      6.459050        443.886536      12.720000       112.227249     
134.919998      0.538667        300.576050      0.243700        54.837177      
31.590000       0.023143        15.065999       0.000000        2.168375       
14.520000       0.197280        91.735191       0.000000        20.594124      
0.420000        0.000000        0.000000        0.000000        0.000000       
2.000000        0.000000        0.000000        0.000000        0.000000       
14.250000       0.088817        49.559696       0.000000        7.393467       
58.400002       0.784167        437.564941      0.000000        80.166367      
53.360001       0.555013        180.250275      0.232400        32.651962      
52.180000       1.831405        35.576332       4.154000        16.941500      
83.910004       112.987999      654.684082      244.000000      390.312500     
305.769989      224.142014      1064.412231     327.500000      527.387512     
497.130005      15.233633       299.803711      86.949997       88.074997      
184.199997      5.878607        217.327286      53.349998       58.937248      
30.969999       0.051420        23.910297       21.190001       7.062762       
4.650000        0.033517        18.702299       6.813000        3.522500       
5.040000        0.029150        16.265699       0.783100        3.378825       
5.600000        0.025343        16.498201       0.000000        2.217500       
20.709999       0.025843        16.823702       0.000000        2.558925       
38.689999       0.138367        77.208611       0.000000        13.802037      
40.400002       0.055125        20.506498       0.000000        6.404000       
