
FLOW_OUT_1
observed    simulated
44.6100       80.3200     
35.0900       54.1400     
53.5200       90.9100     
85.5200       46.7500     
373.4700      11.1100     
306.0000      0.0000      
113.1900      0.0000      
23.1200       0.0000      
5.8200        0.0000      
20.2100       17.6400     
28.9100       5.8010      
37.3400       35.4300     
50.1100       130.9000    
54.5100       140.8000    
60.2100       129.2000    
125.0300      144.0000    
192.0000      73.1100     
157.5700      20.9400     
52.1200       2.5740      
7.7000        0.0000      
10.0600       0.0000      
8.2500        14.3700     
14.4000       33.2000     
66.6200       33.5500     
88.9500       68.9300     
138.6700      55.8100     
122.6900      50.5000     
285.6400      68.3300     
254.1400      30.0900     
151.6200      4.0970      
48.0400       0.0000      
14.6200       0.0000      
5.4100        0.0000      
12.6600       0.7805      
37.6500       37.8200     
109.1500      112.0000    
67.8900       128.9000    
77.6600       163.9000    
112.9500      164.4000    
146.0300      182.7000    
244.2300      69.2900     
272.3200      19.8100     
184.8400      0.3798      
25.3300       0.0000      
14.9400       0.0000      
13.7100       113.4000    
34.9900       80.3900     
42.6100       68.8200     
46.6400       75.5000     
51.6200       38.1400     
75.3800       85.8300     
105.9700      192.7000    
353.0000      141.8000    
175.9800      60.6000     
27.8300       18.7200     
24.9300       6.1140      
3.5300        3.8160      
8.8900        2.2790      
30.3600       2.6550      
37.7200       0.5776      
40.0000       16.0000     
43.6500       40.0600     
42.3400       194.7000    
52.3400       82.9900     
139.3200      31.6300     
74.9800       6.5430      
18.0900       0.0188      
8.5800        0.0000      
0.3200        0.0000      
2.3900        0.0000      
8.9200        0.0000      
34.7400       0.0000      
33.0700       5.1580      
34.2900       0.0000      
55.8400       2.1740      
198.8400      0.0000      
308.3300      0.0000      
125.5300      0.0000      
38.5800       0.0000      
5.9600        0.0000      
4.3100        0.0000      
5.1800        0.0000      
15.4100       0.0000      
23.1800       0.6752      
25.4000       111.5000    
30.8100       269.0000    
32.8100       121.2000    
35.4700       62.5400     
33.6800       13.4400     
10.4400       0.0037      
0.7500        0.0000      
3.8300        0.0000      
2.0300        0.0000      
1.5800        0.0000      
4.5500        0.0000      
9.7000        0.0212      
14.4800       0.4415      
16.9400       3.4120      
23.9900       5.5420      
69.9200       0.0000      
63.2100       0.0000      
15.7700       0.0000      
3.8500        0.0000      
1.2600        0.0000      
0.3400        0.0000      
0.4000        0.0000      
0.6200        2.5490      
7.9000        4.4340      
0.9800        53.7700     
3.2700        50.9300     
2.2400        46.4600     
0.3300        16.7100     
0.1300        1.4910      
0.0000        0.0000      
0.0000        0.0000      
0.0000        0.0000      
0.2900        0.0000      
0.4300        0.0000      


NO3_OUT_7
observed    simulated
17000.0000    2459.0000   
510000.0000   17310.0000  
56000.0000    1.4930      
61000.0000    0.0000      
1100.0000     0.0000      
14.0000       0.0000      
0.2300        0.0000      
5.8000        0.0000      
6.4000        0.0000      
3.2000        0.0000      
5800.0000     0.0000      
7400.0000     0.0000      

