 FLOW_OUT_1
observed          L95PPU         U95PPU         Best_Sim       M95PPU
0.980000        0.007259        0.775660        0.005200        0.412861       
3.270000        1.000353        7.994833        0.981800        4.692400       
2.240000        0.034201        0.106199        0.034000        0.072205       
0.330000        0.018090        0.131199        0.017800        0.077795       
0.130000        0.004861        0.031165        0.004800        0.018745       
0.000000        0.000063        0.020847        0.000000        0.011034       
0.000000        0.000045        0.017029        0.000000        0.009010       
0.000000        0.000044        0.016726        0.000000        0.008850       
0.290000        0.001640        0.021643        0.001600        0.012199       
0.430000        0.013544        0.282788        0.012800        0.155665       
0.650000        0.022683        0.920885        0.020300        0.496800       
1.230000        0.025129        0.043441        0.025100        0.034795       
1.030000        0.011576        0.028814        0.011500        0.020675       
2.350000        0.008131        0.199909        0.007600        0.109361       
0.730000        0.006984        0.025679        0.006900        0.016852       
0.480000        0.005506        0.022754        0.005500        0.014610       
0.110000        0.000030        0.011274        0.000000        0.005965       
0.000000        0.000019        0.007060        0.000000        0.003735       
0.000000        0.000011        0.004182        0.000000        0.002212       
0.000000        0.000016        0.005971        0.000000        0.003159       

p-factor= 0.13
r-factor= 0.16
R2= 0.11
Nash_Sutclif= -0.19


 FLOW_OUT_3
observed          L95PPU         U95PPU         Best_Sim       M95PPU
46.270000       5.374760        42.607277       5.276000        25.028000      
59.360001       78.656723       247.072083      78.209999       167.554993     
143.550003      122.634003      361.651917      122.000000      248.800003     
233.869995      46.767448       215.456085      46.320000       135.809998     
91.639999       7.804650        32.177704       7.740000        20.669998      
6.960000        0.002210        0.835569        0.000000        0.442100       
0.970000        0.000000        0.000000        0.000000        0.000000       
0.480000        0.000000        0.000000        0.000000        0.000000       
0.850000        0.000000        0.000000        0.000000        0.000000       
10.820000       0.000000        0.000000        0.000000        0.000000       
28.090000       0.079350        29.994299       0.000000        15.870000      
40.009998       7.996770        24.875061       7.952000        16.906000      
48.169998       1.607080        12.570241       1.578000        7.394000       
56.700001       104.365753      279.953552      103.900002      197.050003     
213.419998      75.260628       343.166229      74.550003       216.674988     
329.299988      66.637802       239.228363      66.180000       157.740005     
72.669998       25.630449       82.350098       25.480000       55.570000      
10.330000       3.001005        22.983887       2.948000        13.549000      
2.970000        0.000000        0.000000        0.000000        0.000000       
0.720000        0.000000        0.000000        0.000000        0.000000       
3.100000        0.000000        0.000000        0.000000        0.000000       
22.889999       0.011590        4.381020        0.000000        2.318000       
36.410000       26.770926       117.599655      26.530001       74.715004      
72.680000       7.713933        93.267494       7.487000        52.873501      
66.180000       68.923203       145.529602      68.720001       109.360001     
97.110001       203.023758      475.877594      202.300003      347.049988     
150.589996      182.728760      419.767456      182.100006      307.850006     
458.170013      93.813751       249.797531      93.400002       176.149994     
423.709991      64.691444       129.328110      64.519997       98.809998      
241.699997      7.653048        23.504955       24.430000       16.020500      
43.450001       0.015827        5.982795        6.331000        3.165500       
15.970000       0.006087        2.301075        2.435000        1.217500       
23.639999       0.006935        2.621430        2.774000        1.387000       
40.430000       0.014023        5.300505        5.609000        2.804500       
57.029999       23.103775       88.616959       22.930000       57.685001      
72.389999       32.063374       52.185768       32.009998       42.684998      
61.619999       40.512348       135.648315      40.259998       90.729996      
77.900002       88.101318       213.010895      87.769997       154.035004     
173.649994      55.086151       223.284729      54.639999       143.869995     
415.100006      35.192398       130.347198      34.939999       85.419998      
277.350006      38.777699       135.930603      38.520000       90.060005      
73.370003       9.763847        10.837356       9.761000        10.330500      
10.470000       0.000516        0.195142        0.206500        0.103250       
13.220000       0.000000        0.000000        0.000000        0.000000       
10.850000       0.000000        0.000000        0.000000        0.000000       
23.260000       0.175030        1.317340        1.384000        0.778000       
