
FLOW_OUT_1
observed    simulated
44.6100       104.1000    
35.0900       72.5800     
53.5200       59.3800     
85.5200       24.6800     
373.4700      3.5040      
306.0000      0.0000      
113.1900      0.0000      
23.1200       0.0000      
5.8200        0.0000      
20.2100       26.8100     
28.9100       6.7940      
37.3400       48.7000     
50.1100       178.3000    
54.5100       181.7000    
60.2100       90.5100     
125.0300      65.1100     
192.0000      25.8600     
157.5700      7.8880      
52.1200       3.8000      
7.7000        3.8380      
10.0600       6.3210      
8.2500        23.3000     
14.4000       32.2000     
66.6200       40.2300     
88.9500       87.9700     
138.6700      54.5200     
122.6900      35.6600     
285.6400      39.3700     
254.1400      11.1100     
151.6200      0.8829      
48.0400       0.0000      
14.6200       0.0000      
5.4100        2.0610      
12.6600       10.6000     
37.6500       42.1000     
109.1500      122.1000    
67.8900       124.8000    
77.6600       98.9200     
112.9500      134.8000    
146.0300      113.1000    
244.2300      41.0900     
272.3200      18.6900     
184.8400      8.7500      
25.3300       11.9800     
14.9400       15.7100     
13.7100       131.0000    
34.9900       79.0300     
42.6100       81.2600     
46.6400       61.0200     
51.6200       20.7900     
75.3800       80.9600     
105.9700      129.5000    
353.0000      91.3500     
175.9800      42.6900     
27.8300       26.6000     
24.9300       25.5600     
3.5300        26.9300     
8.8900        25.4100     
30.3600       23.2000     
37.7200       18.8100     
40.0000       32.3400     
43.6500       38.1100     
42.3400       179.2000    
52.3400       37.2300     
139.3200      15.0800     
74.9800       5.0610      
18.0900       0.3376      
8.5800        0.5171      
0.3200        4.4440      
2.3900        6.9830      
8.9200        6.5240      
34.7400       4.7110      
33.0700       17.0700     
34.2900       1.9500      
55.8400       8.5990      
198.8400      0.0748      
308.3300      0.0000      
125.5300      0.0000      
38.5800       0.0000      
5.9600        0.0000      
4.3100        0.0000      
5.1800        0.0000      
15.4100       0.0524      
23.1800       2.6810      
25.4000       196.8000    
30.8100       266.2000    
32.8100       33.4700     
35.4700       18.0300     
33.6800       1.2740      
10.4400       0.0000      
0.7500        0.0000      
3.8300        0.0000      
2.0300        0.0000      
1.5800        0.6451      
4.5500        1.4200      
9.7000        5.3010      
14.4800       3.2450      
16.9400       3.6340      
23.9900       3.0580      
69.9200       0.0000      
63.2100       0.0000      
15.7700       0.0000      
3.8500        0.0000      
1.2600        0.0000      
0.3400        0.0000      
0.4000        0.0000      
0.6200        9.1790      
7.9000        6.8230      
0.9800        80.0400     
3.2700        62.2500     
2.2400        15.3900     
0.3300        0.1881      
0.1300        0.0000      
0.0000        0.0000      
0.0000        0.0000      
0.0000        0.0000      
0.2900        0.0000      
0.4300        0.0000      


NO3_OUT_7
observed    simulated
17000.0000    6628.0000   
510000.0000   58830.0000  
56000.0000    284.2000    
61000.0000    0.0000      
1100.0000     0.0000      
14.0000       0.0000      
0.2300        0.0000      
5.8000        0.0000      
6.4000        0.0000      
3.2000        0.0000      
5800.0000     0.0000      
7400.0000     0.0000      

