Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_1     8.530000        0.298193        1.992149        0.293700       
FLOW_OUT_1     2.710000        0.025304        0.569541        0.023900       
FLOW_OUT_1     0.540000        0.008833        0.091250        0.008600       
FLOW_OUT_1     0.000000        0.001691        0.078196        0.001500       
FLOW_OUT_1     0.000000        0.000961        0.070852        0.000800       
FLOW_OUT_1     0.000000        0.000176        0.063930        0.000000       
FLOW_OUT_1     0.250000        0.001214        0.060963        0.001100       
FLOW_OUT_1     0.770000        0.005111        0.061915        0.005000       
FLOW_OUT_1     1.050000        0.005145        0.056645        0.005000       
FLOW_OUT_1     1.190000        0.018781        0.516836        0.017500       
FLOW_OUT_1     1.440000        0.013493        0.067498        0.013300       
FLOW_OUT_1     1.330000        0.006343        0.056106        0.006200       
FLOW_OUT_1     1.380000        0.005841        0.051496        0.005700       
FLOW_OUT_1     0.230000        0.001203        0.042188        0.001100       
FLOW_OUT_1     0.210000        0.000085        0.032310        0.000000       
FLOW_OUT_1     0.090000        0.000073        0.027707        0.000000       
FLOW_OUT_1     0.080000        0.000065        0.024504        0.000000       
FLOW_OUT_1     0.000000        0.000064        0.024211        0.000000       
FLOW_OUT_1     0.020000        0.000145        0.024187        0.000100       
FLOW_OUT_1     0.720000        0.011661        0.136325        0.011300       
FLOW_OUT_1     1.220000        0.008759        0.034810        0.008700       
FLOW_OUT_1     1.330000        0.010772        0.041762        0.010700       
FLOW_OUT_1     0.980000        0.007259        0.775660        0.005200       
FLOW_OUT_1     3.270000        1.000353        7.994833        0.981800       
FLOW_OUT_1     2.240000        0.034201        0.106199        0.034000       
FLOW_OUT_1     0.330000        0.018090        0.131199        0.017800       
FLOW_OUT_1     0.130000        0.004861        0.031165        0.004800       
FLOW_OUT_1     0.000000        0.000063        0.020847        0.000000       
FLOW_OUT_1     0.000000        0.000045        0.017029        0.000000       
FLOW_OUT_1     0.000000        0.000044        0.016726        0.000000       
FLOW_OUT_1     0.290000        0.001640        0.021643        0.001600       
FLOW_OUT_1     0.430000        0.013544        0.282788        0.012800       
FLOW_OUT_1     0.650000        0.022683        0.920885        0.020300       
FLOW_OUT_1     1.230000        0.025129        0.043441        0.025100       
FLOW_OUT_1     1.030000        0.011576        0.028814        0.011500       
FLOW_OUT_1     2.350000        0.008131        0.199909        0.007600       
FLOW_OUT_1     0.730000        0.006984        0.025679        0.006900       
FLOW_OUT_1     0.480000        0.005506        0.022754        0.005500       
FLOW_OUT_1     0.110000        0.000030        0.011274        0.000000       
FLOW_OUT_1     0.000000        0.000019        0.007060        0.000000       
FLOW_OUT_1     0.000000        0.000011        0.004182        0.000000       
FLOW_OUT_1     0.000000        0.000016        0.005971        0.000000       
FLOW_OUT_3     46.270000       5.374760        42.607277       5.276000       
FLOW_OUT_3     59.360001       78.656723       247.072083      78.209999      
FLOW_OUT_3     143.550003      122.634003      361.651917      122.000000     
FLOW_OUT_3     233.869995      46.767448       215.456085      46.320000      
FLOW_OUT_3     91.639999       7.804650        32.177704       7.740000       
FLOW_OUT_3     6.960000        0.002210        0.835569        0.000000       
FLOW_OUT_3     0.970000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.480000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.850000        0.000000        0.000000        0.000000       
FLOW_OUT_3     10.820000       0.000000        0.000000        0.000000       
FLOW_OUT_3     28.090000       0.079350        29.994299       0.000000       
FLOW_OUT_3     40.009998       7.996770        24.875061       7.952000       
FLOW_OUT_3     48.169998       1.607080        12.570241       1.578000       
FLOW_OUT_3     56.700001       104.365753      279.953552      103.900002     
FLOW_OUT_3     213.419998      75.260628       343.166229      74.550003      
FLOW_OUT_3     329.299988      66.637802       239.228363      66.180000      
FLOW_OUT_3     72.669998       25.630449       82.350098       25.480000      
FLOW_OUT_3     10.330000       3.001005        22.983887       2.948000       
FLOW_OUT_3     2.970000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.720000        0.000000        0.000000        0.000000       
FLOW_OUT_3     3.100000        0.000000        0.000000        0.000000       
FLOW_OUT_3     22.889999       0.011590        4.381020        0.000000       
FLOW_OUT_3     36.410000       26.770926       117.599655      26.530001      
FLOW_OUT_3     72.680000       7.713933        93.267494       7.487000       
FLOW_OUT_3     66.180000       68.923203       145.529602      68.720001      
FLOW_OUT_3     97.110001       203.023758      475.877594      202.300003     
FLOW_OUT_3     150.589996      182.728760      419.767456      182.100006     
FLOW_OUT_3     458.170013      93.813751       249.797531      93.400002      
FLOW_OUT_3     423.709991      64.691444       129.328110      64.519997      
FLOW_OUT_3     241.699997      7.653048        23.504955       24.430000      
FLOW_OUT_3     43.450001       0.015827        5.982795        6.331000       
FLOW_OUT_3     15.970000       0.006087        2.301075        2.435000       
FLOW_OUT_3     23.639999       0.006935        2.621430        2.774000       
FLOW_OUT_3     40.430000       0.014023        5.300505        5.609000       
FLOW_OUT_3     57.029999       23.103775       88.616959       22.930000      
FLOW_OUT_3     72.389999       32.063374       52.185768       32.009998      
FLOW_OUT_3     61.619999       40.512348       135.648315      40.259998      
FLOW_OUT_3     77.900002       88.101318       213.010895      87.769997      
FLOW_OUT_3     173.649994      55.086151       223.284729      54.639999      
FLOW_OUT_3     415.100006      35.192398       130.347198      34.939999      
FLOW_OUT_3     277.350006      38.777699       135.930603      38.520000      
FLOW_OUT_3     73.370003       9.763847        10.837356       9.761000       
FLOW_OUT_3     10.470000       0.000516        0.195142        0.206500       
FLOW_OUT_3     13.220000       0.000000        0.000000        0.000000       
FLOW_OUT_3     10.850000       0.000000        0.000000        0.000000       
FLOW_OUT_3     23.260000       0.175030        1.317340        1.384000       
FLOW_OUT_3     129.690002      11.551650       204.443710      11.040000      
FLOW_OUT_3     138.770004      44.808575       134.751343      44.570000      
FLOW_OUT_3     201.979996      136.638504      301.953064      136.199997     
FLOW_OUT_3     155.270004      136.616241      218.142441      136.399994     
FLOW_OUT_3     448.420013      106.380249      249.734558      106.000000     
FLOW_OUT_3     459.179993      140.008759      294.107544      139.600006     
FLOW_OUT_3     226.210007      114.839996      205.320053      114.599998     
FLOW_OUT_3     59.330002       20.758200       38.929600       39.990002      
FLOW_OUT_3     16.129999       0.044132        16.169025       17.110001      
FLOW_OUT_3     4.810000        0.018327        6.927795        7.331000       
FLOW_OUT_3     16.580000       0.049245        10.339506       10.940000      
FLOW_OUT_3     62.240002       2.825737        14.413774       15.090000      
FLOW_OUT_3     256.359985      132.806000      549.767944      131.699997     
FLOW_OUT_3     122.720001      80.071999       107.215981      80.000000      
FLOW_OUT_3     115.000000      81.614777       128.654922      81.489998      
FLOW_OUT_3     146.210007      60.930901       132.900208      60.740002      
FLOW_OUT_3     225.839996      18.574049       20.100904       20.190001      
FLOW_OUT_3     340.769989      80.775551       267.597961      80.279999      
FLOW_OUT_3     326.320007      128.655258      262.584412      128.300003     
FLOW_OUT_3     197.050003      90.043480       140.363541      89.910004      
FLOW_OUT_3     31.150000       0.102525        38.754444       41.009998      
FLOW_OUT_3     11.440000       0.062575        23.653351       25.030001      
FLOW_OUT_3     19.100000       0.106337        23.117189       24.459999      
FLOW_OUT_3     44.599998       2.076660        24.945477       26.280001      
FLOW_OUT_3     50.490002       9.489923        24.163706       25.020000      
FLOW_OUT_3     55.730000       5.467890        22.014420       22.980000      
FLOW_OUT_3     69.220001       18.627325       21.388844       18.620001      
FLOW_OUT_3     111.110001      32.364803       139.734390      32.080002      
FLOW_OUT_3     155.419998      37.838799       97.706390       37.680000      
FLOW_OUT_3     631.669983      179.377258      472.400482      178.600006     
FLOW_OUT_3     255.000000      36.003601       52.440796       35.959999      
FLOW_OUT_3     26.420000       4.373100        13.081799       13.590000      
FLOW_OUT_3     17.910000       0.511959        3.361702        3.528000       
FLOW_OUT_3     6.510000        0.000163        0.061538        0.065100       
FLOW_OUT_3     17.540001       0.000487        0.184086        0.194800       
FLOW_OUT_3     36.080002       0.929551        3.550077        3.703000       
FLOW_OUT_3     52.349998       4.806710        6.582378        6.686000       
FLOW_OUT_3     59.099998       3.456102        6.133745        6.290000       
FLOW_OUT_3     55.590000       4.533708        10.832435       4.517000       
FLOW_OUT_3     60.889999       25.963276       128.987946      25.690001      
FLOW_OUT_3     88.389999       1.760735        41.245831       1.656000       
FLOW_OUT_3     219.330002      8.680152        137.294647      8.339000       
FLOW_OUT_3     134.919998      0.114775        43.384949       0.000000       
FLOW_OUT_3     31.590000       0.000042        0.015715        0.000000       
FLOW_OUT_3     14.520000       0.070475        26.639551       0.000000       
FLOW_OUT_3     0.420000        0.000000        0.000000        0.000000       
FLOW_OUT_3     2.000000        0.000000        0.000000        0.000000       
FLOW_OUT_3     14.250000       0.002660        1.005480        0.000000       
FLOW_OUT_3     58.400002       0.168650        63.749699       0.000000       
FLOW_OUT_3     53.360001       0.075661        24.230440       0.011600       
FLOW_OUT_3     52.180000       2.593222        29.821108       2.521000       
FLOW_OUT_3     83.910004       201.122253      548.810425      200.199997     
FLOW_OUT_3     305.769989      276.386749      686.091370      275.299988     
FLOW_OUT_3     497.130005      33.512127       75.783257       33.400002      
FLOW_OUT_3     184.199997      16.941450       47.648098       16.860001      
FLOW_OUT_3     30.969999       0.971916        1.468048        0.970600       
FLOW_OUT_3     4.650000        0.000000        0.000000        0.000000       
FLOW_OUT_3     5.040000        0.000000        0.000000        0.000000       
FLOW_OUT_3     5.600000        0.000000        0.000000        0.000000       
FLOW_OUT_3     20.709999       0.000000        0.000000        0.000000       
FLOW_OUT_3     38.689999       0.399984        0.997152        0.398400       
FLOW_OUT_3     40.400002       1.152557        2.493735        1.149000       
FLOW_OUT_3     48.580002       5.336653        83.621643       5.129000       
FLOW_OUT_3     56.580002       3.145045        23.143005       3.092000       
FLOW_OUT_3     57.889999       3.502835        28.699631       3.436000       
FLOW_OUT_3     60.840000       2.931803        41.688347       2.829000       
FLOW_OUT_3     13.460000       0.000000        0.000000        0.000000       
FLOW_OUT_3     1.590000        0.000000        0.000000        0.000000       
FLOW_OUT_3     2.690000        0.000000        0.000000        0.000000       
FLOW_OUT_3     4.980000        0.000000        0.000000        0.000000       
FLOW_OUT_3     2.630000        0.000000        0.000000        0.000000       
FLOW_OUT_3     6.330000        0.000000        0.000000        0.000000       
FLOW_OUT_3     19.650000       0.139525        52.740459       0.000000       
FLOW_OUT_3     26.809999       9.161018        49.883621       9.053000       
FLOW_OUT_3     29.209999       6.765125        50.167248       6.650000       
FLOW_OUT_3     32.029999       80.099998       230.899994      79.699997      
FLOW_OUT_3     111.699997      67.285156       385.906708      66.440002      
FLOW_OUT_3     127.099998      14.706800       81.360390       14.530000      
FLOW_OUT_3     23.690001       0.098585        1.800674        0.094100       
FLOW_OUT_3     2.260000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.550000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.270000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.220000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.770000        0.000000        0.000000        0.000000       
FLOW_OUT_3     10.320000       0.023970        9.060659        0.000000       
FLOW_OUT_3     25.840000       2.699890        50.160412       2.574000       
FLOW_OUT_3     30.219999       5.306135        20.437029       5.266000       
FLOW_OUT_3     39.669998       37.153950       200.753113      36.720001      
FLOW_OUT_3     70.370003       0.065243        13.808034       0.028800       
FLOW_OUT_3     47.970001       0.038275        14.467951       0.000000       
FLOW_OUT_3     13.910000       0.005115        1.933470        0.000000       
FLOW_OUT_3     0.350000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.250000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.200000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.190000        0.000000        0.000000        0.000000       
FLOW_OUT_7     2.080000        0.079775        30.154949       0.000000       
FLOW_OUT_7     12.510000       8.157030        22.871336       8.118000       
FLOW_OUT_7     22.180000       1.656018        10.333615       1.633000       
FLOW_OUT_7     44.610001       104.549248      273.916504      104.099998     
FLOW_OUT_7     35.090000       73.189552       302.989929      72.580002      
FLOW_OUT_7     53.520000       59.717300       186.879395      59.380001      
FLOW_OUT_7     85.519997       24.796200       68.603600       24.680000      
FLOW_OUT_7     373.470001      3.557415        23.694872       3.504000       
FLOW_OUT_7     306.000000      0.000000        0.000000        0.000000       
FLOW_OUT_7     113.190002      0.000000        0.000000        0.000000       
FLOW_OUT_7     23.120001       0.000000        0.000000        0.000000       
FLOW_OUT_7     5.820000        0.011965        4.522770        0.000000       
FLOW_OUT_7     20.209999       27.049974       117.520546      26.809999      
FLOW_OUT_7     28.910000       6.925740        56.591721       6.794000       
